Id,Brand,Vehicle,Market,Page_URL,Chassi_model,Model,Engine,Engine_code,Prod period,Body,Body_code,Grade,Grade_code,Transm,Transm_code,Options
28,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN65L,LN65L-MDA,2L,2400CC DIESEL,08.1983 - 08.1984,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'USA': 'UNITED STATES OF AMERICA', 'DSL': 'DIESEL', 'CBU': 'COMPLETELY BUILT UNIT'}"
29,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN65L,LN65L-MDA3,2L,2400CC DIESEL,08.1983 - 08.1984,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'USA': 'UNITED STATES OF AMERICA', 'DSL': 'DIESEL', 'IV': 'INCOMPLETE VEHICLES (CHASSIS & CAB)'}"
30,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN65L,LN65L-MDCA3,2L,2400CC DIESEL,09.1983 - 08.1984,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'XTR': 'EXTRA CAB', 'G': 'G TYPE', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'USA': 'UNITED STATES OF AMERICA', 'DSL': 'DIESEL', 'IV': 'INCOMPLETE VEHICLES (CHASSIS & CAB)'}"
31,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN65L,LN65L-MDCK,2L,2400CC DIESEL,09.1983 - 08.1984,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'XTR': 'EXTRA CAB', 'G': 'G TYPE', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'CND': 'CANADA', 'DSL': 'DIESEL', 'CBU': 'COMPLETELY BUILT UNIT'}"
32,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN65L,LN65L-MDXA,2LT,2400CC DIESEL TURBO,08.1984 - 08.1985,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'W': 'W TYPE TRANSMISSION', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'USA': 'UNITED STATES OF AMERICA', 'TD': 'TURBO DIESEL', 'CBU': 'COMPLETELY BUILT UNIT'}"
33,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN65L,LN65L-MDXA3,2LT,2400CC DIESEL TURBO,08.1984 - 08.1985,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'W': 'W TYPE TRANSMISSION', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'USA': 'UNITED STATES OF AMERICA', 'TD': 'TURBO DIESEL', 'IV': 'INCOMPLETE VEHICLES (CHASSIS & CAB)'}"
34,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN65L,LN65L-MDXK,2LT,2400CC DIESEL TURBO,08.1984 - 08.1985,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'W': 'W TYPE TRANSMISSION', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'CND': 'CANADA', 'TD': 'TURBO DIESEL', 'CBU': 'COMPLETELY BUILT UNIT'}"
35,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,LN66L,LN66L-MDCXK,2LT,2400CC DIESEL TURBO,08.1985 - 08.1987,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'XTR': 'EXTRA CAB', 'W': 'W TYPE TRANSMISSION', 'HLF': '0.5TONS', 'ST': 'SINGLE TIRE', 'CND': 'CANADA', 'TD': 'TURBO DIESEL', 'CBU': 'COMPLETELY BUILT UNIT'}"
36,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRLDEA,22RE,2400CC EFI,08.1990 - 10.1994,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'USA': 'UNITED STATES OF AMERICA', 'CBU': 'COMPLETELY BUILT UNIT', 'JPP': 'JAPAN PRODUCT'}"
37,Toyota,4Runner,USA:,https://www.amayama.com/en/catalogs/toyota,RN101L,RN101L-TRLDEK,22RE,2400CC EFI,08.1990 - 01.1995,T1,TRUCK(STANDARD DECK 1-SIDE OPEN),DLX,DLX TYPE,MTM,MANUAL TRANSMISSION,"{'5F': 'MTM, 5-SPEED FLOOR SHIFT', 'RCB': 'REGULAR CAB', 'G': 'G TYPE', 'EFI': 'ELECTRIC FUEL INJECTION SYSTEM', 'CND': 'CANADA', 'CBU': 'COMPLETELY BUILT UNIT', 'JPP': 'JAPAN PRODUCT'}"
